IDCARNET_ACTIVITE;IDPERSONNEL;IDOFFRES;SEMAINE;DATE_CONTRAT;TEMPS_EXTER;TEMPS_BUREAU;KILOMETRAGES;REFERENCE;MONTANT;TRANSPORT;KMTRANSPORT;NBRETRANSPORT;JUSTIFTRANS;MTTRANSPORT;PERDIEM;NBREPERDIEM;DERNIERJOUR;JUSTIFPERDIEM;FRAISDIVERS;JUSTIFDIVERS;MTFRAISDIVERS;AVANCES;MT_LOCATION;NBREPAS;NBRENUITE;JUSTIFREPAS;JUSTIFNUITE;JUSTIFDEMARCHES;VISAING;VISARES
4123;37;483;36;05/09/2011;;;;;0,000000;Voiture;53;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-SENTEC-INTERGET-GTA-TRE-CEC-
ALPAGES-AGETIP-EDK-ALPAGES";1;0
4124;37;483;36;06/09/2011;;;;;0,000000;Voiture;55;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-ECAV-TAMWEEL-GAU-ECAV-SUNEOR-
EKSBS-ALPAGES-DAROU SALAM-ALPAGES";1;0
4125;37;483;36;07/09/2011;;;;;0,000000;Voiture;60;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;ALPAGES-SOCOCIM-SVTP-GAU-AGETIP-ALPAGE;1;0
4126;37;483;36;08/09/2011;;;;;0,000000;Voiture;59;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-ICS-EKSBS-ECAV-ALPAGES-SICAP-
TAMWEEL-KFE-SOGECAM-ALPAGES";1;0
4127;37;483;36;09/09/2011;;;;;0,000000;Voiture;58;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-ETM-ETPA-WARDA-BHS-SCPI-ETPE-
DIAMOND BANK-SEBTPA-INTERGET-WARDA-
ALPAGES";1;0
4128;37;483;37;12/09/2011;;;;;0,000000;Voiture;60;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-SENTRHAS-SENEPRES-KHARAFI-ECAV-SUNEOR-EKSBS-BENJA-KFE-SCINIOMRE-CEC
ALPAGES";1;0
4129;37;483;37;13/09/2011;;;;;0,000000;Voiture;59;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-TADEX-SOCABEG-ICS-SOGECAM-EGB
PAD-GAU-TAMWEEL-CGC-ALPAGES";1;0
4130;37;483;38;19/09/2011;;;;;0,000000;Voiture;68;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-SOCOCIM-SCPI-TAMWEEL-SICAP-GAU-
ALPAGES";1;0
4131;37;483;38;20/09/2011;;;;;0,000000;Voiture;52;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-COSE KHARAFI-ECAV-SENTEC- BHS-
COSEMAD-BENJA-AGETIP-IFACE-ECAV-ALPAGES";1;0
4132;37;483;38;21/09/2011;;;;;0,000000;Voiture;65;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-SCPI-TAMWEEL-TRE-EGCD-COSE-ICS
SUNEOR-SVTP-ALPAGES";1;0
4133;37;483;38;22/09/2011;;;;;0,000000;Voiture;60;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-ETK-ECAV-GTA-NDIAMBOUR SA- DMI-
SSBS-SENICOM-EGBTP-AGETIP-SENTEC-EKSBS-ALPAGES";1;0
